,index,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_heading_accuracy,attacking_short_passing,skill_long_passing,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_jumping,power_stamina,power_strength,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle
657,657,P. Bijen,24,189.2,86.9,Netherlands,Caucasian,69,Right,Average,Average,Medium/Medium,RCB,67.68,64.37,54.72,53.9,53.27,48.63,57.81,54.73,14,13,16,13,12,5,6,13,69.0,68.68,71.14
658,658,J. Müller,25,182.7,82.5,Germany,Caucasian,69,Right,Good,Average,Medium/Medium,LCB,64.98,63.42,53.51,65.48,68.37,49.87,58.51,58.85,15,13,15,13,13,7,9,12,69.98,71.54,69.24
659,659,J. Hoogma,21,190.5,81.0,Netherlands,Caucasian,69,Left,Good,Average,Medium/Medium,LCB,58.0,69.49,70.64,65.45,64.65,62.71,67.89,59.63,10,13,15,13,14,6,6,12,66.74,72.45,68.5
660,660,B. Augustyn,31,191.0,84.9,Poland,Caucasian,69,Right,Good,Average,Medium/High,LCB,68.62,59.01,52.77,46.85,47.51,55.61,67.96,38.46,16,10,16,14,12,6,8,13,66.24,71.48,65.37
661,661,J. Une Larsson,25,180.3,73.6,Sweden,Caucasian,69,Right,Good,Average,Medium/High,LCB,66.69,59.25,54.82,65.33,67.55,63.46,64.06,78.46,18,14,14,16,13,6,8,12,68.52,69.78,65.14
662,662,J. Shackell,35,193.3,83.5,England,Black,69,Left,Good,Average,,LCB,70.3,62.62,57.79,42.05,42.25,55.74,67.37,50.02,14,12,16,13,14,5,9,14,71.27,66.07,65.01
663,663,D. Rosero Valencia,25,182.7,83.5,Colombia,Black,69,Right,Average,Average,Medium/High,RCB,73.23,52.85,64.79,54.67,70.97,62.53,62.75,60.43,18,17,16,10,14,8,8,11,64.82,70.28,66.33
664,664,V. Alvarado,26,180.6,77.3,United States,Caucasian,69,Right,Good,Average,Medium/High,LCB,67.5,63.47,59.03,51.83,66.28,61.52,65.36,56.43,14,13,15,12,13,4,10,11,67.88,71.83,69.37
665,665,L. Guldan,36,182.5,82.0,Slovakia,Caucasian,69,Right,Good,Average,Low/High,RCB,68.68,68.88,58.72,32.36,31.09,56.13,70.42,58.06,15,13,16,13,13,11,9,11,67.11,65.89,64.83
666,666,Jo Sung Jin,28,187.8,76.6,Korea Republic,Asian,69,Right,Good,Average,Low/High,LCB,70.4,54.55,49.71,68.58,69.07,64.15,59.64,53.39,14,14,15,13,14,8,10,12,66.79,71.25,66.06
667,667,P. Banggaard,25,196.1,83.7,Denmark,Caucasian,69,Right,Good,Average,Medium/Medium,LCB,68.16,62.71,58.18,55.74,61.08,33.15,58.9,46.97,10,14,16,14,13,6,8,12,67.21,69.13,66.81
668,668,Yohan Tavares,31,187.7,81.7,Portugal,Black,69,,Good,Average,Medium/Medium,LCB,68.41,62.78,54.66,45.08,61.99,46.72,68.49,55.11,12,14,15,14,13,5,6,13,66.22,69.46,69.51
669,669,I. Cristea,24,183.7,77.4,Romania,Middle-eastern,69,Right,Good,Average,Medium/High,RCB,67.26,55.02,45.12,66.22,51.5,63.04,56.8,64.85,17,14,14,14,13,7,7,13,66.07,70.8,69.75
670,670,L. Lindsay,23,190.3,88.7,Scotland,Caucasian,69,Left,Good,Average,Medium/High,LCB,69.56,59.27,55.7,51.27,57.95,41.95,68.49,51.57,15,14,16,14,13,6,9,11,67.85,68.55,69.18
671,671,D. Schmidt,32,187.4,78.3,Germany,Caucasian,69,Right,Good,Average,Medium/High,RCB,62.19,56.69,56.48,65.48,67.05,57.42,50.0,62.08,16,13,16,16,13,8,9,11,68.17,69.16,73.35
672,672,T. Iwanami,25,186.0,71.7,Japan,Asian,69,Right,Good,Average,Medium/Low,RCB,73.85,67.73,67.52,71.73,65.9,67.45,65.1,51.62,15,13,14,13,13,5,12,10,62.3,67.57,65.54
673,673,N. Dams,29,184.3,76.7,Germany,Caucasian,69,Right,Excellent,Average,Medium/Medium,LCB,61.73,60.02,55.94,62.9,60.89,66.16,65.19,62.91,17,13,14,13,14,5,9,11,65.78,68.95,67.89
674,674,R. González,28,182.4,78.9,Argentina,Caucasian,69,Right,Good,Average,Medium/Medium,LCB,71.02,61.13,50.53,47.75,50.35,57.19,59.21,52.17,14,13,16,15,11,6,7,12,71.56,71.39,61.89
675,675,S. Caulker,27,185.1,77.4,England,Caucasian,69,Right,Average,Average,Medium/High,LCB,72.59,61.6,64.79,61.04,70.95,65.41,59.8,55.34,14,11,16,12,13,5,8,15,68.06,67.57,68.92
676,676,S. Hagen,33,185.4,79.6,Norway,Caucasian,69,Right,Good,Average,Medium/High,LCB,67.45,68.88,63.37,45.73,42.22,35.1,70.52,46.76,14,13,15,12,14,6,9,13,68.69,69.34,67.84
677,677,J. Glad,22,185.0,72.1,United States,Caucasian,69,Right,Average,Average,Medium/High,LCB,65.17,69.35,62.93,70.77,70.65,49.95,63.71,65.13,14,14,14,14,14,4,8,12,69.98,67.66,64.01
678,678,A. Vukoti?,23,200.6,95.4,Serbia,Caucasian,69,Left,Good,Average,Medium/Medium,LCB,72.43,62.68,65.31,29.94,31.46,39.7,62.8,29.93,6,12,18,12,14,6,9,13,67.93,66.69,64.25
679,679,M. Beevers,29,192.8,79.7,England,Caucasian,69,Left,Average,Average,Medium/High,LCB,75.42,52.45,38.36,49.16,49.7,37.47,62.11,33.71,14,15,17,14,13,5,9,12,62.6,66.52,69.28
680,680,Carlos Gutiérrez,27,191.8,82.3,Spain,Caucasian,69,Right,Good,Average,Medium/Medium,LCB,70.08,62.92,54.74,42.2,49.72,32.81,66.23,46.59,7,12,17,13,13,6,6,10,69.66,68.81,67.84
681,681,S. Mockenhaupt,27,187.2,84.3,Germany,Caucasian,69,Right,Average,Average,Medium/Medium,RCB,66.63,57.69,43.53,68.77,76.13,72.13,67.46,59.81,17,13,16,13,13,6,6,12,67.68,71.25,63.73
682,682,A. Kuluši?,33,188.6,78.3,Croatia,Caucasian,69,Right,Average,Average,,LCB,73.9,66.13,63.86,43.61,66.17,47.79,67.97,55.11,13,13,15,13,14,4,9,10,60.21,70.1,67.99
683,683,M. Silva,30,185.2,82.2,Uruguay,Caucasian,69,Right,Good,Average,Medium/Medium,RCB,70.5,60.58,57.65,35.93,37.01,60.34,61.2,41.62,16,12,17,15,13,6,8,11,64.99,64.96,60.41
684,684,E. Segura,22,174.6,69.8,Colombia,Black,69,Right,Good,Average,Medium/High,LCB,63.41,63.18,55.65,58.45,66.31,60.91,64.4,59.57,15,14,15,13,13,5,6,12,70.77,72.45,66.38
685,685,Z. Touré,29,182.6,79.1,Senegal,Black,69,Right,Good,Average,Medium/Medium,LCB,72.83,68.88,58.16,66.54,73.14,59.17,64.93,57.67,18,15,16,14,13,8,8,12,67.89,68.74,69.24
686,686,H. Hermannsson,24,190.3,80.9,Iceland,Caucasian,69,Right,Good,Average,Medium/Medium,RCB,68.45,62.69,60.99,55.21,46.29,58.05,62.38,54.83,16,13,15,14,13,4,10,12,65.75,68.22,66.38
687,687,L. Owona,28,189.3,88.7,,,69,Right,Good,Average,Low/High,RCB,68.2,67.38,61.26,50.27,47.77,68.92,60.42,45.18,14,14,15,14,13,4,5,11,66.14,73.26,64.82
688,688,A. Avlonitis,29,190.0,80.6,Greece,Middle-eastern,69,Right,Good,Average,Medium/High,RCB,66.31,55.48,58.98,58.35,52.21,49.83,58.0,44.65,14,14,16,13,14,6,7,12,69.34,70.48,69.75
689,689,S. Fortès,27,191.8,85.2,Cape Verde,Black,69,,Average,Average,Low/Medium,RCB,72.87,65.34,55.99,42.01,42.25,56.11,58.25,35.36,10,14,17,13,12,4,10,11,67.68,73.38,68.28
690,690,N. Brighenti,29,178.5,74.6,Italy,Caucasian,69,Right,Good,Average,Medium/Medium,RCB,71.62,54.65,51.78,62.9,61.25,73.17,65.49,70.46,16,13,14,14,13,3,5,12,68.86,68.57,69.42
691,691,J. Laporte,25,184.8,82.4,France,Caucasian,69,Right,Good,Average,Medium/Medium,RCB,71.34,60.72,53.31,59.9,58.74,47.98,62.45,53.58,16,16,16,14,13,5,5,11,67.21,70.06,65.16
692,692,,29,184.9,85.6,Norway,Caucasian,69,Right,Good,Average,Low/Medium,RCB,71.25,60.6,61.84,42.22,51.5,56.18,66.93,47.05,14,12,16,13,14,6,9,13,60.67,71.48,66.16
693,693,L. Acevedo,27,196.8,97.4,Argentina,Caucasian,69,Right,Good,Average,Low/Medium,RCB,69.65,57.89,37.17,34.34,52.33,56.35,62.46,30.22,9,14,18,16,13,6,7,11,64.63,72.69,63.01
694,694,M. Curado,24,186.9,80.5,Argentina,Caucasian,69,Right,Average,Average,Medium/Medium,LCB,71.74,55.56,41.22,54.7,59.29,38.64,70.56,49.1,14,12,16,14,13,6,6,12,66.57,67.55,61.98
695,695,J. Mattheij,26,191.0,83.9,Netherlands,Caucasian,69,Right,Good,Average,Low/High,LCB,76.52,52.42,40.93,36.49,33.64,47.16,61.53,48.12,16,14,16,13,13,6,8,12,72.23,67.38,64.75
696,696,M. Fernández,30,180.7,79.2,Uruguay,Caucasian,69,Right,Good,Average,Medium/Medium,CB,75.11,58.59,55.77,58.05,58.74,51.37,65.95,62.2,14,12,15,11,14,7,6,11,70.59,71.5,65.05
697,697,M. Sollbauer,29,186.7,86.0,Austria,Caucasian,69,Right,Good,Average,Medium/High,RCB,69.82,57.54,53.17,36.15,44.58,56.6,62.55,35.36,16,14,16,14,13,9,5,14,66.18,72.69,66.64
698,698,Messias,24,192.3,87.7,Brazil,Black,69,Right,Average,Average,Medium/Medium,RCB,72.38,46.78,41.11,59.63,59.25,33.91,65.27,42.48,13,12,16,15,13,7,6,10,72.78,67.06,63.87
699,699,S. Gonther,32,186.1,86.0,Germany,Caucasian,69,Right,Excellent,Average,Medium/Medium,RCB,68.16,51.43,44.9,52.75,50.08,57.22,61.63,57.92,16,8,15,14,13,6,9,13,69.91,68.66,65.5
700,700,N. Ueda,24,185.8,76.6,Japan,Asian,69,,Average,Average,Medium/Medium,RCB,72.0,61.25,51.64,51.63,57.11,58.74,61.39,52.17,14,15,14,12,12,5,5,12,68.8,75.49,70.43
701,701,D. Bain,25,180.6,73.5,France,Caucasian,69,Right,Excellent,Average,Low/High,LCB,72.09,63.41,36.76,64.94,66.62,46.24,70.56,55.25,18,14,15,13,13,4,7,12,68.39,67.14,65.47
702,702,G. Milovi?,30,195.4,92.6,Croatia,Caucasian,69,Right,Good,Average,Medium/Medium,RCB,66.9,41.14,25.91,46.13,46.32,30.71,57.81,30.81,9,11,18,14,14,4,6,13,73.57,68.99,65.3
703,703,S. Nakatani,23,183.7,78.9,Japan,Asian,69,Right,Good,Average,Medium/High,RCB,72.77,57.14,34.29,68.77,76.12,69.94,64.09,50.1,15,14,16,10,13,4,7,11,63.96,69.91,67.39
704,704,A. Radovanovi?,25,189.5,82.9,Serbia,Caucasian,69,Left,Average,Average,Medium/Medium,LCB,71.34,66.21,55.72,53.92,37.95,33.96,54.64,42.67,12,12,16,14,13,5,6,11,67.78,70.78,64.23
705,705,P. Arajuuri,31,192.6,92.0,Finland,Black,69,Right,Average,Average,Medium/High,LCB,70.08,56.6,58.9,33.59,33.46,55.61,63.07,36.73,14,13,18,16,14,5,6,12,61.42,64.96,65.45
706,706,D. Tonucci,30,181.7,77.9,Italy,Caucasian,69,Right,Average,Average,Low/High,LCB,61.3,46.55,44.09,49.71,32.67,33.05,69.35,77.08,16,14,17,14,13,5,4,13,68.94,73.84,64.04
707,707,M. Roberts,28,193.2,80.9,England,Middle-eastern,69,Right,Average,Average,Low/Medium,CB,74.45,50.55,55.69,52.37,61.32,40.67,67.65,51.13,16,12,16,13,13,5,6,10,65.82,66.8,66.44
708,708,Willyan,24,192.6,85.9,Brazil,Caucasian,69,Right,Average,Average,Medium/Medium,LCB,70.14,53.26,34.48,49.43,51.33,33.13,67.37,37.37,11,12,17,14,13,4,5,11,65.57,72.98,65.52
709,709,A. Pearce,30,188.4,85.4,Republic of Ireland,Caucasian,69,Right,Average,Average,Low/High,RCB,71.93,56.36,52.97,38.53,39.87,43.31,61.53,46.98,14,13,16,15,12,6,7,12,71.68,67.88,65.82
710,710,Pichu Atienza,29,189.6,84.9,Spain,Caucasian,69,Right,Average,Average,Medium/Medium,LCB,70.11,61.44,40.93,34.61,32.02,49.67,62.2,39.48,8,11,18,15,13,2,7,12,68.41,73.12,62.13
711,711,D. Bulthuis,29,192.4,88.4,Netherlands,Caucasian,69,Left,Good,Average,Medium/Medium,LCB,74.49,54.42,48.15,38.63,52.96,37.19,55.2,31.99,14,14,18,16,12,5,4,12,64.12,66.12,65.94
712,712,C. Strohdiek,31,192.4,87.3,Germany,Caucasian,69,Right,Good,Average,Low/Medium,RCB,71.7,51.19,34.28,33.38,33.69,33.91,66.0,36.69,10,7,18,15,12,6,7,11,67.74,71.16,68.67
713,713,M. Troest,32,188.7,82.2,Denmark,Caucasian,69,Right,Good,Average,Medium/Medium,RCB,68.31,58.98,55.45,44.83,54.4,46.71,66.34,50.06,16,13,18,14,13,2,4,13,63.64,66.84,65.62
714,714,D. Arreola,33,178.3,74.8,Mexico,Caucasian,68,Left,Good,Good,Low/High,LCB,68.39,66.26,63.0,67.7,67.57,66.46,61.78,60.33,12,14,14,14,13,10,12,13,61.95,68.49,67.01
715,715,M. Bareiro,24,182.4,73.6,Argentina,Caucasian,68,Right,Average,Average,Medium/Medium,LCB,69.37,72.95,63.88,68.1,68.82,68.26,61.59,63.74,13,13,13,13,13,10,11,10,67.29,63.69,67.62
716,716,F. Battiste,35,177.9,77.7,Argentina,Caucasian,68,Left,Good,Good,Medium/Medium,LCB,65.07,71.48,67.24,62.28,57.64,64.68,69.9,67.09,12,14,14,9,14,11,13,11,65.36,67.92,61.0
717,717,Borja Granero,29,188.6,74.6,Spain,Black,68,Left,Good,Average,Medium/High,LCB,71.2,65.03,60.74,60.94,65.28,59.08,67.87,51.87,14,14,16,14,12,11,12,13,62.59,66.54,61.51
718,718,R. Dekker,24,173.3,65.0,Netherlands,Caucasian,68,Right,Excellent,Good,Medium/High,LCB,68.16,68.85,68.18,65.83,65.97,70.81,63.6,80.3,13,15,11,15,13,11,12,13,67.29,66.09,66.14
719,719,A. Coeff,27,185.4,67.1,France,Black,68,Right,Good,Average,,RCB,67.37,67.83,67.16,54.66,64.61,72.76,67.51,60.03,16,15,14,13,13,11,11,13,60.99,66.13,67.21
720,720,Ren Hang,30,184.6,80.1,China PR,Asian,68,Left,Good,Average,Medium/Medium,LCB,69.0,58.38,59.12,66.74,71.54,58.98,66.33,52.31,13,15,15,12,13,13,12,11,66.37,65.65,66.91
721,721,J. Raitala,30,180.7,76.7,Finland,Black,68,Left,Excellent,Average,,LCB,63.17,68.15,65.73,62.28,60.89,58.26,68.13,64.53,16,14,14,14,13,11,11,13,68.9,66.14,63.34
722,722,F. Boya,23,190.3,83.4,Cameroon,Black,68,Right,Excellent,Average,High/Medium,CB,62.83,68.13,63.88,62.8,63.82,52.1,64.93,46.97,13,14,16,15,12,7,12,13,62.79,66.22,64.38
723,723,M. Müldür,20,184.6,75.3,Turkey,Middle-eastern,68,Right,Excellent,Average,High/Medium,RCB,72.39,61.13,59.96,82.44,77.35,82.29,65.96,70.56,16,15,13,12,12,7,10,11,62.66,67.97,65.57
724,724,H. Takahashi,31,183.7,75.4,Japan,Asian,68,Right,Good,Average,Medium/Medium,RCB,64.19,68.88,63.12,46.43,49.57,74.89,66.62,51.42,13,14,15,13,14,10,12,12,66.36,66.04,64.82
725,725,B. Safari,34,180.5,74.1,Sweden,Caucasian,68,Left,Average,Average,Medium/Medium,LCB,49.87,65.79,56.76,57.74,72.09,67.45,68.78,69.64,11,12,15,15,13,8,13,15,69.3,66.57,64.99
726,726,Dai Lin,31,187.6,79.3,China PR,Asian,68,Right,Good,Average,Low/High,RCB,70.15,57.49,49.41,57.1,64.25,53.96,62.0,52.74,12,14,15,16,12,10,9,13,66.55,65.56,69.62
727,727,B. Hines-Ike,24,185.4,77.1,United States,Caucasian,68,Right,Good,Average,High/Medium,RCB,63.83,62.08,57.6,63.06,66.88,63.63,64.31,64.2,14,14,14,14,13,7,10,12,68.94,66.22,64.24
728,728,N. Vidrio,30,179.8,77.7,Mexico,Caucasian,68,Right,Good,Average,Medium/High,RCB,66.76,62.67,61.82,50.5,55.43,63.67,64.81,62.42,13,14,14,13,13,9,10,13,65.98,69.85,68.27
729,729,P. Gibaud,31,184.3,68.6,France,Caucasian,68,Right,Average,Average,Medium/Medium,RCB,67.39,60.13,56.97,64.01,64.7,60.34,65.04,68.44,14,14,15,13,12,9,9,13,67.49,67.35,70.04
730,730,J. Williams,31,188.4,83.8,,,68,Right,Good,Average,Medium/High,LCB,66.11,67.17,70.12,58.9,62.42,49.62,65.86,62.41,14,14,15,14,13,8,9,11,67.12,68.15,62.95
731,731,,34,182.9,77.8,Jamaica,Black,68,Right,Good,Average,Medium/High,RCB,67.92,64.4,61.17,39.22,49.54,33.85,55.29,66.64,16,12,17,16,12,9,10,13,65.31,65.42,57.77
732,732,Gonzalo Verdú,30,185.4,80.2,Spain,Caucasian,68,Right,Good,Average,High/Medium,RCB,65.99,60.54,55.28,55.78,63.17,63.17,63.54,58.4,14,14,16,12,13,7,11,11,72.22,66.83,59.45
733,733,J. Rojas,36,176.3,74.8,Chile,Caucasian,68,Left,Good,Average,Medium/Medium,LCB,65.81,67.92,64.61,60.83,51.26,51.6,68.56,62.36,14,10,14,12,13,8,11,14,70.78,66.53,65.36
734,734,J. Choplin,34,183.5,83.5,France,Black,68,Right,Good,Average,Low/Medium,RCB,67.44,68.88,68.05,48.89,51.33,34.37,62.32,55.86,16,14,16,14,14,9,10,13,63.14,66.06,57.77
735,735,R. Shindo,23,182.7,73.6,Japan,Asian,68,,Good,Average,Medium/High,RCB,72.48,63.21,51.19,63.57,66.72,68.58,66.21,62.46,15,15,14,15,13,11,8,11,66.01,69.24,61.0
736,736,M. Bostwick,31,193.4,89.2,England,Caucasian,68,Right,Good,Average,Medium/High,RCB,68.23,52.73,50.41,54.16,46.77,48.32,62.78,32.92,12,17,18,18,13,10,8,12,62.81,63.89,61.61
737,737,D. Oyarzún,26,184.8,77.9,Chile,Caucasian,68,Left,Good,Average,Medium/Medium,LCB,71.57,63.76,61.22,58.06,65.05,54.66,67.87,44.06,14,15,14,13,13,9,7,9,66.64,71.87,57.32
738,738,H. Rodríguez,29,184.4,79.3,Mexico,Caucasian,68,Right,Average,Average,Low/Medium,LCB,69.64,61.77,56.6,49.89,54.4,44.67,65.65,58.61,11,11,15,13,13,8,9,13,65.38,66.79,66.93
739,739,,27,183.9,80.0,Brazil,Caucasian,68,Right,Good,Average,High/Low,LCB,66.29,63.21,54.95,63.0,66.88,65.14,62.22,62.46,15,9,15,13,12,6,9,14,66.34,66.57,64.46
740,740,T. Lockyer,24,179.9,71.7,Wales,Caucasian,68,Right,Excellent,Average,Low/High,RCB,70.26,60.34,61.62,73.36,63.13,67.45,63.24,64.34,16,16,15,16,11,7,9,12,61.87,68.49,65.56
741,741,J. Peters,32,181.8,77.6,Netherlands,Black,68,Left,Good,Average,Medium/Medium,LCB,67.68,66.63,67.83,50.51,55.43,64.89,64.98,60.67,15,11,14,13,14,10,12,14,68.12,65.72,65.84
742,742,Kim Oh Gyu,30,182.6,77.1,Korea Republic,Asian,68,,Good,Average,Medium/High,RCB,62.63,59.87,59.79,71.35,72.24,79.29,66.24,64.2,18,16,16,14,13,11,13,11,65.7,66.27,60.35
743,743,A. Sørensen,23,191.1,86.6,Denmark,Caucasian,68,Right,Good,Average,Medium/Medium,LCB,61.29,62.85,56.46,48.67,65.62,52.4,66.34,48.03,10,12,15,12,13,7,10,13,69.61,68.99,66.82
744,744,M. Constantin,34,185.7,85.2,Romania,Middle-eastern,68,Right,Good,Average,Low/High,LCB,66.82,63.99,58.71,46.43,45.09,72.43,65.37,55.49,15,15,15,14,13,7,10,14,64.18,67.56,67.98
745,745,S. Sasaki,29,176.0,70.4,Japan,Asian,68,Left,Good,Average,Medium/High,LCB,62.04,58.49,45.96,68.59,71.44,71.54,62.7,72.45,18,11,14,12,13,6,7,11,67.59,69.71,64.72
746,746,,25,188.0,76.2,Scotland,Caucasian,68,Left,Average,Average,Medium/Medium,LCB,67.12,56.06,49.41,61.79,70.3,60.92,64.55,63.09,16,14,15,12,14,10,9,12,66.27,64.9,65.05
747,747,M. Modolo,30,185.7,82.4,Italy,Caucasian,68,Left,Good,Average,Medium/High,RCB,75.93,61.86,58.2,61.21,58.32,72.03,60.04,49.98,16,15,17,13,11,8,8,12,65.4,64.74,65.21
748,748,I. Ahmed,35,184.7,88.4,United Arab Emirates,Middle-eastern,68,Right,Good,Average,Medium/Medium,RCB,74.88,55.78,48.15,45.55,51.26,38.3,61.87,42.9,15,11,17,14,11,9,8,12,65.83,65.56,62.03
749,749,Patrick William,22,186.1,82.1,Brazil,Caucasian,68,Right,Good,Average,High/Medium,LCB,66.53,68.88,51.43,51.37,60.28,50.1,63.85,48.67,17,12,15,13,12,6,7,14,64.54,68.56,66.82
750,750,J. Anibaba,30,182.7,77.2,United States,Caucasian,68,Right,Good,Average,Medium/Medium,LCB,65.3,61.33,57.1,55.78,63.18,65.18,65.78,60.77,15,14,15,13,13,7,8,11,69.48,63.98,64.51
751,751,N. Backman,30,186.0,80.0,Sweden,Caucasian,68,Right,Good,Average,Medium/Medium,RCB,67.75,54.68,59.03,51.54,54.25,67.45,68.6,54.7,15,12,15,12,13,5,8,13,69.5,70.08,64.99
752,752,A. Seck,27,192.1,94.8,Senegal,Black,68,Right,Excellent,Average,High/High,RCB,69.73,60.63,49.41,63.78,69.03,57.37,58.6,57.66,13,14,18,16,12,5,10,13,55.95,65.1,66.48
753,753,S. Benedetti,27,190.4,79.5,Italy,Caucasian,68,,Good,Average,Low/High,LCB,67.36,54.56,46.25,62.09,69.24,50.59,62.85,63.09,15,14,16,13,13,5,6,13,64.24,64.26,65.2
754,754,C. Avinel,32,179.8,69.9,France,Caucasian,68,Right,Good,Average,Medium/Medium,LCB,65.06,58.67,59.36,69.22,74.6,62.0,57.93,57.83,18,16,16,14,12,7,9,12,69.18,67.82,63.49
755,755,D. Erdmann,28,187.9,85.6,Germany,Caucasian,68,Right,Excellent,Average,High/High,LCB,63.58,58.24,52.94,57.76,55.4,53.32,61.1,50.47,13,16,16,18,11,7,9,11,59.74,67.76,70.02
756,756,,30,178.7,70.3,France,Caucasian,68,Right,Good,Average,Medium/Medium,LCB,68.78,62.92,65.3,65.33,55.99,59.31,60.86,70.88,17,14,14,13,13,7,8,11,66.42,68.07,65.07
757,757,T. Smith,29,188.1,81.7,New Zealand,Caucasian,68,Left,Average,Average,,LCB,73.32,60.81,57.92,53.94,58.32,60.48,62.15,51.97,15,14,16,15,13,9,10,11,64.09,66.38,62.47
758,758,S. Blondelle,33,184.9,80.3,Belgium,Black,68,Left,Average,Average,Medium/Medium,LCB,67.08,64.94,59.69,40.22,33.35,46.13,63.39,58.17,9,14,15,14,14,5,11,13,74.39,65.33,63.57
759,759,O. Viera,32,186.9,82.9,Ivory Coast,Black,68,Right,Average,Average,Medium/Medium,RCB,66.06,53.22,50.75,48.95,34.05,57.06,66.11,49.58,16,14,16,17,13,10,6,11,69.65,62.93,61.72
760,760,L. Valenti,20,187.8,80.3,Argentina,Caucasian,68,Left,Excellent,Average,High/Medium,LCB,68.16,59.83,42.82,51.79,67.38,51.28,59.04,51.74,14,13,16,15,13,6,6,11,64.54,67.41,68.2
761,761,A. Trusty,20,191.2,84.3,United States,Caucasian,68,,Good,Average,Low/High,LCB,64.67,60.91,62.46,77.8,77.75,56.5,62.68,57.83,15,14,16,13,12,6,5,11,66.85,67.74,64.61
762,762,D. Høegh,28,189.5,79.0,Denmark,Caucasian,68,Right,Average,Average,Medium/Medium,RCB,74.67,64.04,64.93,49.95,41.65,53.95,59.17,51.21,15,13,15,13,12,6,8,12,65.94,68.13,65.18
763,763,Elgezabal,26,185.4,74.0,Spain,Caucasian,68,Right,Good,Average,Medium/Medium,RCB,65.55,62.53,62.06,57.76,52.11,56.0,59.17,54.98,15,12,14,14,13,7,9,12,66.15,67.28,68.43
764,764,F. Torijano,30,182.3,72.7,Colombia,Black,68,Right,Good,Average,Medium/Medium,RCB,70.11,59.57,49.33,63.88,66.35,75.84,61.17,60.61,15,12,15,13,14,7,8,10,61.13,69.24,64.47
765,765,Gégé,31,183.8,83.1,Cape Verde,Black,68,Right,Good,Average,Medium/Medium,CB,62.63,61.77,49.8,53.11,42.56,61.48,61.93,58.56,17,13,15,14,13,7,8,10,65.15,66.58,64.92
766,766,I. Höhn,27,183.3,72.5,Germany,Caucasian,68,Right,Good,Average,Medium/Medium,LCB,65.22,59.32,55.05,56.15,51.76,66.43,69.07,61.98,16,13,13,12,12,5,9,10,69.91,70.08,71.04
767,767,D. Ulvestad,30,189.1,83.7,Norway,Caucasian,68,Right,Good,Average,Medium/High,RCB,65.93,58.79,56.15,40.51,51.08,46.59,66.13,44.06,15,12,16,14,13,7,8,12,68.88,66.14,59.0
768,768,C. Osmanpa?a,31,182.0,77.1,Turkey,Middle-eastern,68,Right,Good,Average,Medium/Medium,LCB,57.44,66.03,65.37,49.61,51.78,56.39,51.69,48.47,14,13,16,10,14,5,6,10,67.53,70.04,69.96
769,769,B. Zech,28,185.7,72.8,Austria,Caucasian,68,Right,Good,Average,Low/Medium,LCB,65.62,55.6,46.99,51.79,73.42,38.44,59.23,51.23,13,13,16,13,13,7,8,12,67.18,69.71,66.96
770,770,M. Saunier,29,181.8,75.9,France,Black,68,Right,Good,Average,Medium/Medium,LCB,62.09,65.41,68.07,34.08,50.0,67.45,66.31,60.48,14,12,14,13,14,3,9,12,59.91,64.69,70.05
771,771,B. White,21,184.6,72.2,England,Black,68,Right,Excellent,Average,,RCB,66.31,65.16,56.82,64.73,65.35,49.29,61.55,47.82,15,14,13,14,13,4,8,11,64.15,69.68,65.99
772,772,S. Mosquera,25,185.4,77.3,Colombia,Black,68,Right,Excellent,Average,Medium/Medium,RCB,78.74,52.94,54.1,36.25,42.42,33.2,58.21,37.91,7,10,18,13,12,4,5,12,68.86,69.31,65.15
773,773,F. Berge,29,188.6,82.4,Norway,Caucasian,68,Right,Good,Average,Medium/Medium,RCB,66.16,61.04,60.62,41.84,51.18,32.0,60.19,56.5,15,12,16,13,13,7,9,11,65.13,68.46,65.44
774,774,G. Velázquez,28,180.1,78.3,Paraguay,Caucasian,68,Right,Good,Average,High/High,RCB,66.94,56.95,44.1,82.79,74.6,64.84,58.45,61.85,17,12,14,13,14,6,6,14,68.44,63.88,69.04
775,775,B. Badiashile,18,183.0,77.2,France,Caucasian,68,Left,Good,Average,Low/High,LCB,68.74,66.06,51.71,52.92,54.46,41.97,59.5,42.38,14,12,15,12,13,5,7,12,65.4,68.29,62.17
776,776,J. Rodon,21,193.2,75.7,Wales,Caucasian,68,Right,Excellent,Average,Medium/Medium,LCB,59.24,65.75,45.34,51.44,56.5,46.94,68.46,57.12,14,12,14,12,14,4,6,10,66.04,66.67,68.31
777,777,K. Larsen,26,190.3,88.1,Denmark,Caucasian,68,Right,Average,Average,Medium/Medium,CB,68.16,55.6,45.55,70.77,70.09,43.76,62.75,48.35,16,13,17,14,13,4,7,12,64.15,64.28,63.92
778,778,M. Robinson,22,187.6,84.2,United States,Middle-eastern,68,,Excellent,Average,Medium/Medium,RCB,64.6,61.17,58.91,71.49,79.34,44.11,60.01,47.82,15,13,15,14,13,5,7,10,64.05,68.36,65.24
