,index,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_penalties,mentality_composure
230,230,H. Diallo,24,186.1,78.7,Senegal,Black,74,Right,Average,Good,High/Medium,ST,77.63,73.38,64.18,66.0,69.97,50.03,36.37,67.92,72.57,70.75,59.5,68.22,67.13,14,15,13,16,11,16,13
231,231,M. Caraglio,30,187.1,85.7,Argentina,Caucasian,74,Left,Good,Good,High/Low,ST,77.57,84.08,64.97,73.19,69.92,54.52,46.7,72.25,58.58,34.66,63.08,70.25,45.07,15,16,14,18,14,15,14
232,232,,31,183.9,73.6,Brazil,Caucasian,74,Left,Good,Good,High/Medium,ST,74.24,73.38,59.12,75.63,71.4,56.42,34.72,72.24,70.73,69.47,57.86,67.06,65.75,15,16,12,18,13,14,13
233,233,H. Gnohere,31,183.0,93.7,France,Caucasian,74,Left,Good,Good,Medium/Low,ST,78.36,71.47,63.71,70.38,63.32,65.69,43.66,63.31,58.62,70.43,62.59,73.06,59.43,15,16,15,18,12,11,15
234,234,C. Robinson,24,178.0,75.1,Republic of Ireland,Caucasian,73,,Good,Good,High/Medium,LS,76.47,63.36,64.82,59.23,73.82,57.33,54.57,81.98,86.32,84.08,82.47,71.38,74.48,14,9,13,13,13,12,13
235,235,Rubén Castro,38,169.2,68.1,Spain,Caucasian,73,Right,Good,Good,Medium/Low,ST,77.45,69.13,65.46,68.34,72.82,69.4,68.47,73.41,72.45,69.04,86.22,73.36,80.31,14,16,12,11,14,15,13
236,236,D. Okereke,21,180.6,77.4,Nigeria,Black,73,Right,Excellent,Excellent,High/Medium,ST,73.51,68.48,69.93,55.76,75.54,39.55,30.63,74.47,90.31,91.07,84.63,69.47,69.09,13,16,13,13,11,12,14
237,237,Kim Seung Dae,28,174.6,63.6,Korea Republic,Asian,73,Right,Excellent,Good,High/Low,ST,71.43,62.89,71.55,55.72,72.29,57.0,58.34,72.6,90.01,85.55,75.26,75.95,74.48,13,14,16,12,12,9,14
238,238,N. Fernández,23,165.0,66.3,Argentina,Caucasian,73,Right,Excellent,Good,High/Low,LS,74.65,69.45,65.92,64.55,74.52,56.75,46.52,73.4,91.2,81.83,85.41,73.36,89.59,13,17,15,8,13,13,14
239,239,J. Agudelo,26,180.3,69.8,Colombia,Black,73,Right,Good,Good,High/Low,ST,74.13,69.6,65.81,66.4,72.81,66.33,37.65,70.13,83.79,81.72,84.45,71.43,66.74,13,13,16,13,13,14,14
240,240,,34,189.0,81.8,Senegal,Black,73,Right,Good,Good,High/Medium,ST,71.67,65.41,69.16,73.92,68.65,76.41,72.07,71.46,71.5,70.16,57.31,71.72,53.12,14,15,13,14,13,17,15
241,241,Guerrero,28,181.0,76.0,Spain,Caucasian,73,Right,Good,Good,,ST,71.53,78.07,76.85,74.32,69.89,66.2,49.97,71.1,68.04,70.97,62.59,71.61,71.22,15,13,14,12,13,13,14
242,242,R. Rodelin,29,192.0,82.0,France,Caucasian,73,Right,Good,Good,Medium/Medium,ST,73.13,76.15,72.59,74.19,75.43,67.64,64.83,75.3,54.79,56.88,61.49,71.89,55.06,14,16,15,15,13,14,13
243,243,E. Håland,18,194.3,87.2,Norway,Caucasian,73,Left,Good,Good,High/Medium,LS,71.53,61.88,67.44,69.56,71.81,68.97,61.64,74.05,79.13,82.78,66.34,71.68,64.93,14,14,14,16,12,14,15
244,244,A. Koné,35,185.2,81.2,Ivory Coast,Black,73,Right,Excellent,Good,Medium/Medium,ST,75.49,71.15,66.66,70.63,69.7,56.99,56.22,74.9,64.96,65.39,64.28,71.09,60.36,15,15,14,15,13,13,14
245,245,B. Linssen,28,170.2,64.3,Netherlands,Caucasian,73,Right,Average,Good,High/Medium,RS,72.42,80.71,65.46,70.69,71.12,72.42,66.06,73.87,79.54,74.6,73.61,68.78,80.88,15,18,15,12,14,10,14
246,246,S. Doukara,27,186.2,85.4,France,Caucasian,73,Right,Good,Good,Medium/Medium,ST,72.96,69.16,69.75,63.94,74.7,65.36,49.41,72.44,62.97,70.77,44.34,66.76,48.44,15,7,13,17,14,12,15
247,247,G. Lapadula,29,178.2,68.6,Italy,Caucasian,73,Left,Good,Good,High/Medium,RS,76.31,80.71,63.63,74.22,71.76,68.21,68.84,73.86,73.6,73.46,77.79,70.07,77.71,14,15,13,11,11,14,14
248,248,W. Bou,25,174.0,73.6,Argentina,Caucasian,73,Right,Average,Good,Medium/Low,LS,75.86,58.22,67.95,70.97,72.03,61.56,44.57,74.0,76.46,82.78,73.67,67.65,66.7,15,18,12,13,15,11,14
249,249,S. Okazaki,33,172.8,77.5,Japan,Asian,73,Right,Excellent,Good,High/High,ST,62.61,74.4,66.66,75.55,74.69,52.68,49.82,72.51,66.05,61.44,76.41,77.96,68.13,15,17,12,11,13,14,13
250,250,M. Autret,28,179.1,64.5,France,Black,73,Right,Good,Excellent,High/Medium,RS,70.57,47.79,74.79,64.33,72.2,63.24,69.9,72.4,69.65,72.08,74.76,69.82,78.13,15,12,13,12,13,12,12
251,251,H. Barcos,35,187.1,91.9,Argentina,Caucasian,73,Right,Masterful,Good,Medium/Medium,ST,69.96,75.94,70.46,68.13,67.05,66.4,65.34,74.74,59.49,70.77,41.86,69.23,45.67,15,14,8,18,14,15,15
252,252,N. Nikoli?,31,179.5,80.2,Hungary,Caucasian,73,Right,Excellent,Good,High/Medium,ST,76.44,71.26,64.7,67.76,64.83,71.17,66.86,72.71,67.84,68.5,66.63,71.99,69.88,15,14,14,15,13,14,14
253,253,C. Peralta,29,177.6,79.4,,,73,Right,Good,Good,High/Medium,ST,80.04,70.07,62.54,59.32,68.98,34.06,31.79,71.8,75.79,71.72,72.48,66.27,67.82,13,14,12,14,11,13,13
254,254,R. Yaremchuk,23,189.9,79.4,Ukraine,Caucasian,73,Right,Good,Good,High/Medium,LS,69.82,75.34,71.39,66.41,69.44,44.61,44.56,72.12,69.61,76.73,65.54,67.92,60.73,14,15,15,14,13,12,12
255,255,M. Kanazaki,30,180.1,70.0,Japan,Asian,73,Right,Excellent,Good,Medium/High,RS,72.14,68.19,74.24,69.58,72.03,64.99,49.84,68.6,82.39,76.29,81.11,65.66,68.06,14,14,16,16,13,14,14
256,256,O. Kayode,26,173.6,64.6,Nigeria,Black,73,Right,Average,Good,Medium/Medium,ST,75.45,67.06,64.4,63.44,69.75,55.01,47.59,73.12,86.4,87.03,87.99,73.36,81.91,13,14,15,13,12,13,11
257,257,A. Pulido,28,176.6,83.1,Mexico,Caucasian,73,Right,Average,Good,High/High,LS,70.2,69.63,67.26,66.31,69.91,64.39,57.97,72.12,76.88,78.47,76.13,70.14,63.86,14,14,14,15,14,14,14
258,258,Angulo,35,181.2,77.1,Spain,Black,73,Left,Good,Good,Medium/Medium,ST,74.81,69.56,65.66,61.89,70.88,68.67,61.64,68.88,76.88,81.09,78.02,74.49,71.97,13,14,13,15,12,14,14
259,259,,24,182.6,71.6,Poland,Caucasian,73,Right,Good,Good,High/Medium,LS,73.92,73.76,70.78,62.89,70.87,50.94,34.1,69.59,73.19,68.52,76.67,68.65,71.32,14,15,13,13,12,12,12
260,260,E. Paredes,38,178.4,81.8,Chile,Caucasian,73,Left,Good,Good,High/Low,ST,80.43,69.75,68.56,68.13,69.67,68.97,74.66,70.7,58.16,66.15,66.63,72.12,64.54,14,14,13,15,12,15,13
261,261,C. Akpom,23,186.4,80.8,England,Middle-eastern,73,Right,Good,Good,Medium/Medium,ST,70.67,66.52,65.43,63.07,70.34,42.5,36.53,69.98,81.85,68.52,77.59,69.92,62.91,14,16,14,16,13,12,14
262,262,A. Sørloth,23,194.3,89.8,Norway,Caucasian,73,Left,Excellent,Good,High/Medium,ST,72.9,73.26,67.43,69.14,68.29,67.5,51.37,69.69,67.45,77.05,52.19,65.96,56.2,15,12,15,17,13,14,14
263,263,K. Laba,27,180.0,75.5,Togo,Black,73,Right,Excellent,Average,High/Low,LS,72.74,78.07,59.69,68.27,64.19,65.15,36.33,66.37,76.95,80.64,76.6,75.34,63.17,14,18,14,15,11,12,13
264,264,L. Grabban,31,183.4,77.7,England,Caucasian,73,Right,Good,Good,Medium/Low,ST,76.18,57.51,65.44,72.0,67.28,66.0,59.65,69.09,68.54,67.89,73.07,68.92,69.09,14,9,13,15,12,14,14
265,265,K. Wilczek,31,184.8,83.4,Poland,Caucasian,73,,Good,Good,High/Medium,ST,72.53,72.91,66.63,69.13,67.37,55.78,42.58,65.88,62.36,59.68,66.11,74.22,39.29,14,15,15,16,13,13,13
266,266,R. Zozulya,29,179.8,74.8,Ukraine,Caucasian,73,Right,Good,Good,High/High,RS,71.72,76.1,68.29,69.25,69.44,41.72,55.01,67.98,75.73,76.24,70.17,69.8,69.79,15,18,15,16,12,12,13
267,267,M. Ishak,26,184.9,81.3,Sweden,Caucasian,73,Right,Masterful,Good,Medium/Medium,ST,73.35,72.45,70.1,65.23,66.97,37.68,30.79,69.36,69.34,77.34,62.02,67.92,64.0,15,16,13,16,13,12,11
268,268,Nélson Oliveira,27,185.7,81.7,Portugal,Caucasian,73,Right,Excellent,Good,Medium/Medium,ST,80.04,70.33,67.22,69.74,70.95,44.61,46.75,71.94,64.42,73.8,66.34,65.86,67.13,15,12,13,15,13,15,14
269,269,L. Jiménez,35,183.0,74.7,Chile,Caucasian,73,Right,Excellent,Good,High/Medium,RF,54.77,50.77,68.4,74.06,70.79,80.9,74.72,79.67,62.4,65.62,64.87,70.41,63.33,14,13,10,13,13,14,15
270,270,S. Di Carmine,30,187.3,77.6,Italy,Caucasian,73,Right,Excellent,Good,High/Low,ST,80.04,71.66,61.84,66.38,71.62,66.0,61.92,71.9,71.87,66.43,79.82,67.56,61.1,15,14,14,17,13,15,15
271,271,A. Ujah,28,183.5,80.6,Nigeria,Black,73,Right,Excellent,Good,Medium/Medium,ST,72.41,80.69,61.95,60.59,70.76,57.16,44.52,66.75,73.19,69.1,68.91,71.34,65.65,16,18,12,15,13,13,14
272,272,A. Hassan,26,191.4,86.3,Egypt,Middle-eastern,73,Right,Good,Good,Medium/Low,ST,74.18,75.52,62.55,74.47,70.47,66.27,43.63,70.66,58.09,58.48,53.0,71.26,39.29,16,9,10,17,13,15,15
273,273,,30,187.7,81.0,Slovenia,Caucasian,73,Right,Excellent,Good,Medium/Low,LS,76.68,81.2,54.05,73.97,66.37,69.31,54.5,73.8,46.15,50.61,59.61,74.48,48.15,15,13,13,15,13,14,15
274,274,J. Dinenno,24,185.6,84.0,Argentina,Caucasian,73,Right,Good,Average,High/Low,ST,76.62,78.84,59.74,70.38,62.4,56.42,60.14,69.8,64.44,70.36,66.11,65.52,43.96,15,15,14,17,12,13,13
275,275,L. Depoitre,30,190.9,91.3,Belgium,Caucasian,73,Right,Average,Average,,RS,72.11,82.58,71.41,70.38,64.12,45.66,29.35,71.14,44.57,51.15,33.38,70.61,47.76,16,14,13,17,12,12,15
276,276,J. Toledo,33,188.9,88.5,Argentina,Caucasian,73,Left,Good,Average,High/Medium,RS,73.1,80.15,66.49,63.85,63.84,62.34,58.53,65.88,50.8,50.64,45.76,69.6,32.71,15,15,10,18,14,13,14
277,277,K. Coulibaly,27,196.6,87.0,Mali,Black,73,Right,Good,Good,Medium/Medium,ST,73.83,75.42,67.28,67.8,64.45,45.73,39.12,66.02,68.1,79.84,45.1,69.15,33.28,14,7,12,16,13,13,13
278,278,Lee Jae Sung,26,171.5,70.0,Korea Republic,Asian,73,Left,Excellent,Good,High/High,CF,52.56,51.24,75.9,54.24,74.77,65.51,53.73,73.08,69.87,67.32,81.45,71.64,69.58,10,11,18,9,12,8,15
279,279,R. Glatzel,25,193.4,85.0,,,73,Right,Excellent,Average,Medium/Medium,ST,75.64,73.26,55.82,72.41,63.05,49.7,30.71,71.69,66.36,79.84,52.99,72.84,41.1,15,12,12,16,12,13,12
280,280,A. Jahovi?,32,190.8,90.5,,,73,Right,Good,Good,High/Low,ST,76.99,76.28,63.24,59.95,66.47,38.5,40.19,67.12,62.0,62.87,56.15,62.19,47.1,15,10,11,18,13,13,13
281,281,F. Aristeguieta,27,188.3,84.3,Venezuela,Black,73,Right,Good,Average,High/Medium,ST,79.43,79.7,59.66,70.44,66.27,63.36,48.73,73.73,52.74,52.12,66.65,65.07,38.58,13,16,15,17,14,13,12
282,282,Marcão,25,196.0,90.3,Brazil,Black,73,,Good,Good,Medium/Low,ST,75.26,72.79,60.69,61.93,64.82,66.89,27.9,66.02,69.32,65.12,56.01,68.31,70.98,15,15,15,17,12,12,14
283,283,C. Ikonomidis,24,173.4,73.4,Australia,Caucasian,72,Right,Excellent,Good,High/Medium,LS,72.11,58.22,69.89,66.48,76.77,68.13,60.21,76.26,83.86,80.57,84.82,72.18,70.84,14,11,15,12,13,11,13
284,284,I. Mboyo,32,185.6,81.9,,,72,Right,Good,Good,High/Medium,ST,69.65,69.71,69.95,59.54,75.78,62.46,65.93,75.25,66.64,68.51,65.78,67.01,60.2,14,14,13,16,13,14,15
285,285,T. Chevalier,32,177.9,76.7,France,Caucasian,72,Right,Excellent,Good,High/Medium,RS,73.59,57.51,68.4,75.34,72.2,70.3,68.59,69.88,77.46,79.03,73.32,67.93,76.71,14,16,14,14,14,13,14
286,286,R. Meggiorini,33,182.0,77.9,Italy,Caucasian,72,Left,Good,Good,Medium/Medium,RS,71.74,68.05,70.28,69.22,67.28,69.42,60.47,72.57,75.37,60.14,77.7,75.49,73.85,13,15,13,15,12,14,15
287,287,,32,174.9,72.2,Japan,Asian,72,Right,Excellent,Good,High/Low,LF,67.91,76.01,67.57,70.16,67.23,46.29,54.52,76.88,71.52,69.07,79.45,68.17,72.71,13,13,14,13,14,14,14
288,288,B. Kadrii,27,177.3,71.1,Denmark,Caucasian,72,Left,Good,Good,High/Medium,LS,72.46,57.62,63.23,64.49,71.57,65.11,64.23,73.4,85.38,80.57,82.59,67.18,78.73,15,16,15,14,12,12,13
289,289,C. Guanca,26,177.8,78.1,Argentina,Caucasian,72,Left,Good,Good,High/Medium,ST,76.21,59.47,66.78,58.75,72.86,45.69,40.28,71.09,78.56,77.84,75.11,64.57,68.16,14,13,14,14,13,11,13
290,290,A. Jóhannsson,28,183.6,69.7,United States,Black,72,,Excellent,Good,High/Medium,ST,72.76,69.33,70.17,66.69,73.98,59.24,45.87,66.02,69.48,65.48,67.87,69.55,61.97,14,13,12,12,13,15,14
291,291,L. Mancuso,27,182.4,76.7,Italy,Caucasian,72,Right,Excellent,Good,Medium/Medium,LS,72.82,60.66,66.54,69.73,72.86,62.6,41.48,72.19,71.63,82.9,82.48,71.91,78.39,13,13,18,13,13,14,14
292,292,Carlinhos,24,176.1,74.2,Brazil,Caucasian,72,Right,Excellent,Excellent,High/Medium,LS,80.04,57.77,65.58,68.36,76.33,65.11,57.48,76.22,89.23,85.89,75.44,66.37,76.45,13,9,15,14,13,10,12
293,293,Cristian Lodeira,27,172.0,65.8,Brazil,Caucasian,72,Right,Excellent,Good,Medium/Medium,RS,69.87,65.35,61.78,68.36,75.42,39.73,64.63,72.37,71.52,81.16,88.0,77.26,87.1,14,13,12,9,13,13,14
294,294,M. Rosenberg,36,183.7,80.9,Sweden,Caucasian,72,Right,Good,Good,Medium/High,RS,71.66,67.92,69.86,69.84,65.68,64.59,71.49,70.88,66.64,62.73,67.88,73.23,62.86,14,17,13,16,13,14,15
295,295,C. Menéndez,31,185.2,80.4,Argentina,Caucasian,72,Right,Good,Good,Medium/Low,LS,71.73,77.21,69.43,50.54,64.17,51.17,47.3,69.25,61.96,64.99,73.59,74.36,49.33,14,14,15,16,13,14,14
296,296,S. Armenteros,29,181.0,80.1,Sweden,Caucasian,72,Left,Good,Good,Medium/Low,RS,70.83,68.51,66.07,70.38,74.51,64.94,61.93,70.78,70.76,70.5,66.11,68.7,75.29,14,15,12,16,13,13,14
297,297,M. Pérez,28,181.9,73.6,Colombia,Black,72,Right,Good,Good,Medium/Medium,ST,75.02,67.75,66.29,56.61,67.12,61.72,40.28,67.05,84.13,89.54,76.29,65.22,65.08,14,15,14,14,13,13,13
298,298,Josué da Feira,27,176.9,70.5,Brazil,Caucasian,72,Right,Good,Good,Medium/Medium,LS,75.11,69.27,64.64,75.59,67.6,65.27,57.53,76.61,69.66,70.5,63.36,76.93,65.29,14,14,13,10,15,13,14
299,299,P. Bamford,25,185.3,71.4,England,Black,72,Left,Good,Good,Medium/Medium,ST,71.85,68.98,67.27,60.41,71.45,66.93,58.55,74.42,72.31,70.18,69.87,67.81,61.97,14,12,15,14,12,13,14
300,300,D. McGoldrick,31,182.5,74.4,Republic of Ireland,Caucasian,72,Right,Good,Good,Medium/Medium,RS,73.13,68.51,69.6,66.24,71.09,67.85,69.22,73.24,64.73,66.87,73.72,71.73,76.01,13,13,13,14,13,15,15
301,301,M. Thiam,26,184.7,78.7,Senegal,Black,72,Right,Good,Good,Medium/Medium,ST,69.6,71.13,65.78,68.35,69.7,56.48,45.59,75.13,72.76,76.46,76.02,63.93,63.55,14,15,12,15,13,12,14
302,302,A. Canelo,27,180.5,83.0,Argentina,Caucasian,72,Left,Excellent,Good,High/Low,RS,74.34,60.39,66.53,50.29,73.1,50.54,41.61,72.39,83.75,83.43,74.96,64.57,61.85,15,14,13,14,13,12,13
303,303,S. Michel,28,178.6,78.8,Germany,Caucasian,72,Left,Good,Good,Medium/Medium,LS,69.87,53.41,65.72,68.33,68.65,65.11,59.45,69.42,79.33,77.88,75.4,71.97,73.05,15,14,15,13,13,13,13
304,304,Nilsito Vilela,31,180.1,70.6,Brazil,Caucasian,72,Right,Masterful,Good,High/Low,ST,66.28,74.56,64.62,61.57,72.97,63.0,64.46,75.18,72.31,82.19,71.01,77.17,71.31,12,14,12,14,11,13,13
305,305,Thiago Alminxa,27,181.5,71.2,Brazil,Black,72,Right,Excellent,Good,High/Low,ST,71.54,60.8,62.37,63.96,74.54,68.37,70.6,73.51,81.02,83.39,63.46,71.7,68.39,12,14,11,14,12,11,12
306,306,T. Usami,27,177.6,69.5,Japan,Asian,72,Right,Excellent,Excellent,Medium/Low,RS,69.87,40.7,68.05,71.43,80.07,65.11,60.23,71.88,78.09,76.19,77.96,64.76,77.88,15,6,13,9,14,11,14
307,307,F. Márquez,31,184.1,85.7,Argentina,Caucasian,72,Right,Excellent,Good,Medium/Medium,RS,72.83,73.61,67.77,71.46,67.04,59.36,63.63,67.96,72.47,79.24,66.11,65.45,76.22,14,16,13,16,14,13,16
308,308,C. Gytkjær,29,184.6,77.3,Denmark,Caucasian,72,,Excellent,Good,Medium/Medium,ST,74.15,71.03,59.91,64.23,67.6,61.33,56.39,68.01,71.94,70.47,72.89,70.38,61.97,14,16,12,16,13,15,14
309,309,A. Peši?,27,190.5,87.3,Serbia,Caucasian,72,Right,Excellent,Good,High/Medium,RS,72.46,70.5,69.78,69.31,66.42,55.6,54.6,71.44,65.04,67.61,62.27,65.91,44.98,14,14,14,16,13,13,14
310,310,S. Guirassy,23,186.8,82.3,France,Caucasian,72,Right,Good,Excellent,Medium/Low,ST,71.73,70.13,66.09,63.78,73.78,55.78,67.2,75.05,67.96,70.18,67.62,61.01,65.16,14,14,11,15,11,13,12
311,311,L. Vido,22,181.9,74.7,Italy,Caucasian,72,Right,Good,Good,Medium/Medium,LS,73.25,72.68,59.91,59.91,72.49,62.34,64.41,69.88,67.55,68.85,71.02,70.99,65.3,14,15,13,13,12,14,13
312,312,J. Harper,23,186.5,77.6,Scotland,Caucasian,72,Left,Good,Good,High/High,RS,77.15,62.1,65.4,64.07,69.7,53.59,51.8,72.21,74.76,76.29,70.71,64.75,63.03,14,13,15,13,12,13,12
313,313,Gabriel Xavier,25,167.8,60.8,Brazil,Black,72,Left,Good,Good,High/Low,RS,65.03,45.05,74.26,54.06,76.35,66.76,68.16,69.96,74.84,75.98,76.64,64.01,74.98,13,9,13,13,12,12,13
314,314,B. Assombalonga,26,178.5,77.8,DR Congo,Black,72,Right,Good,Good,Medium/Low,ST,73.21,75.49,59.9,61.51,65.08,68.15,46.36,67.04,75.58,77.39,63.36,69.92,70.98,14,14,14,15,13,12,13
315,315,Dalmau,25,180.8,73.7,Spain,Caucasian,72,Right,Good,Good,High/High,ST,78.37,84.57,57.44,67.19,68.08,62.66,42.34,65.7,78.36,77.47,77.0,63.78,66.25,14,14,13,11,14,13,13
316,316,M. Ducksch,25,187.6,79.0,Germany,Caucasian,72,Right,Good,Good,Medium/Medium,LS,72.94,71.58,63.1,73.19,64.31,72.02,66.26,70.64,65.59,67.69,62.72,74.48,63.4,14,14,13,14,13,9,13
317,317,E. Derdiyok,31,196.3,91.9,Switzerland,Caucasian,72,Right,Good,Good,Medium/Low,ST,74.17,80.41,70.65,79.38,65.72,59.88,64.32,72.03,34.11,37.51,54.38,69.13,45.74,15,14,10,18,14,13,13
318,318,J. Correa,26,187.3,84.9,Argentina,Caucasian,72,Right,Excellent,Good,Medium/Low,ST,76.07,72.39,68.24,51.67,70.67,31.3,25.45,74.6,64.94,67.68,73.6,57.96,46.94,15,15,15,15,12,10,12
319,319,Alexandre Guedes,25,185.4,77.4,Portugal,Caucasian,72,Right,Good,Good,Medium/Medium,ST,74.37,72.72,68.24,64.51,69.19,45.26,27.14,71.94,64.54,62.97,68.42,69.32,58.57,15,15,14,15,11,11,14
320,320,M. Coda,30,183.8,72.3,,,72,Right,Excellent,Good,High/Low,LS,76.41,75.49,63.89,59.61,69.18,67.33,69.7,71.56,66.03,56.2,61.62,69.03,63.91,14,7,8,14,14,13,14
321,321,M. Le Bihan,29,184.2,80.1,France,Black,72,Right,Good,Good,High/Medium,ST,75.03,69.88,58.55,67.02,59.81,56.28,58.64,71.03,60.87,51.84,66.16,68.7,61.68,15,15,10,15,12,13,13
322,322,G. Zardes,27,186.0,83.6,United States,Black,72,Right,Excellent,Good,High/Medium,ST,71.14,65.64,58.67,65.63,70.07,59.54,29.69,64.32,80.96,88.35,76.25,72.88,52.03,15,15,17,15,12,13,12
323,323,M. Trotta,26,188.5,84.8,Italy,Caucasian,72,Left,Good,Good,Medium/Low,LS,70.86,74.88,58.28,68.39,67.49,63.68,69.07,70.19,65.06,62.03,64.97,72.02,59.35,15,15,11,14,13,15,15
324,324,Y. Boli,25,180.9,78.1,Ivory Coast,Black,72,Right,Good,Good,High/Medium,ST,72.97,75.34,60.36,60.02,72.51,48.79,70.01,68.11,67.96,74.94,70.54,65.71,67.75,14,17,15,14,12,12,14
325,325,Walter Silvieiro,27,179.4,70.2,Brazil,Caucasian,72,Right,Good,Good,High/Low,ST,77.37,70.12,64.98,73.76,62.89,68.39,66.26,66.93,72.96,71.22,63.99,63.41,61.28,15,15,13,11,14,15,13
326,326,R. Gutiérrez,36,177.4,76.4,Chile,Caucasian,72,Right,Good,Good,High/Low,RS,77.09,74.65,60.23,59.45,64.61,45.49,67.03,72.95,64.82,74.94,64.63,65.18,56.06,13,16,12,15,12,15,11
327,327,Y. Touzghar,32,179.4,74.7,Tunisia,Black,72,Right,Good,Good,High/Low,ST,72.63,73.05,59.91,70.76,66.53,51.38,54.95,68.51,67.06,75.74,79.54,69.39,74.49,14,16,14,14,12,13,13
328,328,M. Grüttner,33,184.7,83.6,Germany,Caucasian,72,,Excellent,Average,High/High,LS,71.97,73.65,63.76,72.9,65.9,49.58,31.49,68.01,61.87,64.59,68.17,68.92,58.57,14,16,17,16,13,12,13
329,329,M. Rangel,28,185.3,79.9,Colombia,Black,72,Right,Good,Good,High/Medium,ST,76.13,77.78,58.19,78.37,63.95,60.38,62.17,68.01,53.51,60.1,67.44,73.04,53.16,14,16,14,15,13,13,13
330,330,,27,186.4,73.1,Belgium,Caucasian,72,Right,Good,Average,Medium/Low,ST,76.64,74.56,62.14,71.77,59.81,63.68,66.26,63.57,64.76,66.3,65.31,73.04,62.4,14,13,14,14,12,15,15
331,331,S. Sáez,34,175.9,84.8,Argentina,Caucasian,72,Right,Good,Good,High/Low,ST,77.25,69.55,57.71,64.89,70.99,51.56,44.05,68.29,61.86,73.71,71.48,74.23,59.7,13,12,10,16,11,15,12
332,332,P. Hamel,25,189.0,75.8,France,Black,72,Right,Good,Good,Medium/Medium,ST,79.42,79.31,59.39,45.19,62.76,41.92,32.86,69.66,65.51,58.41,57.94,68.01,70.63,14,16,13,13,13,13,11
333,333,L. Jutkiewicz,30,185.1,77.2,England,Caucasian,72,Left,Excellent,Good,,ST,70.53,80.59,59.34,62.78,63.09,53.1,51.68,69.97,53.5,63.61,55.2,71.96,62.18,14,17,14,17,12,15,13
334,334,Júlio Tavares,30,187.1,88.0,Cape Verde,Black,72,Right,Average,Good,Medium/Medium,ST,71.65,74.9,67.99,66.02,64.55,53.54,41.09,71.02,60.76,49.2,66.81,74.2,47.66,14,11,13,17,13,13,13
335,335,L. Kozák,30,193.0,87.8,Czech Republic,Caucasian,72,Right,Good,Average,Medium/Medium,ST,71.38,78.77,65.61,69.53,65.54,57.46,60.61,70.05,49.97,52.94,44.04,70.08,46.55,14,13,12,16,12,15,15
336,336,F. Diedhiou,26,189.2,80.0,Senegal,Black,72,Right,Average,Good,Medium/Medium,ST,73.1,78.93,56.57,62.78,66.16,52.63,51.68,67.54,52.77,64.94,59.7,64.28,57.72,15,12,11,17,11,15,12
337,337,D. Ciofani,33,189.5,82.0,Italy,Caucasian,72,Right,Good,Average,Medium/Medium,LS,70.86,78.14,56.95,61.02,52.59,57.46,47.78,67.8,52.36,69.45,32.39,73.56,39.39,15,18,11,16,14,13,15
338,338,A. Budimir,27,189.6,74.8,Croatia,Caucasian,72,Left,Excellent,Good,Medium/High,ST,79.81,75.26,57.19,66.25,65.17,44.12,31.24,69.19,61.87,67.27,58.14,65.96,38.81,14,10,14,15,12,13,13
339,339,Simy,27,198.4,83.7,Nigeria,Black,72,Right,Good,Average,Medium/Low,RS,77.57,80.54,55.88,77.89,57.68,44.8,31.24,56.55,53.5,63.01,68.51,73.77,35.82,14,6,12,18,13,12,14
340,340,I. Tandia,25,171.2,70.4,Mali,Black,71,Right,Good,Excellent,High/Medium,ST,71.38,53.46,66.37,49.8,77.95,70.83,62.71,72.29,90.11,91.35,90.15,64.01,78.58,14,12,15,13,12,10,13
341,341,Eltildo Bessa,35,165.3,62.0,Brazil,Caucasian,71,Left,Good,Good,High/Low,RS,70.75,60.65,60.79,75.33,73.07,76.03,63.68,74.87,79.33,85.32,92.66,77.52,88.04,12,12,14,6,12,11,15
342,342,D. Lezcano,29,177.7,79.0,Paraguay,Caucasian,71,Right,Excellent,Good,High/Medium,LS,68.51,67.77,68.42,61.02,72.09,67.8,75.23,71.7,78.72,82.11,67.62,66.23,77.76,14,17,15,13,13,14,15
343,343,A. Taggart,26,183.3,70.5,Australia,Caucasian,71,Right,Good,Good,High/Medium,RS,76.02,52.24,68.42,68.35,68.94,68.23,37.99,73.69,79.13,72.82,81.7,67.77,67.47,14,11,13,13,14,12,14
344,344,A. Gerndt,32,184.6,79.8,Sweden,Caucasian,71,Left,Excellent,Good,Medium/Medium,RS,70.32,54.01,72.15,70.08,70.54,69.43,69.54,71.68,80.41,85.52,76.01,70.31,61.4,14,13,15,14,14,13,13
345,345,Hwang Hee Chan,23,183.2,76.7,Korea Republic,Asian,71,Right,Good,Good,High/Medium,RS,67.64,58.44,64.84,61.42,72.1,57.94,44.01,73.73,91.61,91.37,89.22,72.41,81.61,13,14,14,13,11,12,12
