,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle
7968,M. Graiciar,20,183,77,Czech Republic,Caucasian,67,Right,Good,Average,,SUB,47,65.67,68.92,58.76,62.4,65.25,46.05,41.88,48.22,66.82,75.08,73.84,66.7,58.15,55.77,12,11,10,13,9,14,5,14,10,13,12,17.88,17.71,24.45
7969,Anderson Oliveira,21,185.5,78.4,Brazil,Caucasian,67,Left,Excellent,Average,Medium/Medium,SUB,58.05,70.06,62.59,61.08,58.09,63.28,54.95,55.66,-43.8,66.37,61.11,56.98,58.59,68.14,58.33,13,12,10,15,12,9,4,13,11,12,12,24.3,21.76,20.74
7970,M. Lieder,29,187.7,84.9,Netherlands,Black,67,Right,Excellent,Good,High/Medium,ST,41.76,62.75,63.5,58.67,48.07,65.67,39.86,-42.05,43.69,66.58,75.69,69.79,73.05,63.08,66.54,13,13,13,15,11,13,3,13,10,13,13,20.07,17.38,14.05
7971,Hugo Duro,19,170.7,69.6,Spain,Black,67,Left,Good,Average,Medium/Medium,RES,31.16,73.99,61.4,53.9,57.71,65.02,38.43,27.05,34.3,67.67,66.05,-64.93,53.69,65.36,68.67,12,13,9,12,11,7,4,13,9,11,12,37.28,16.52,20.21
7972,S. Ciss,30,-175.4,70.3,Senegal,Black,67,Left,Good,Good,High/Medium,RES,66.85,58.81,60.21,65.57,58.78,69.1,59.19,40.8,60.14,65.78,76,77.16,69.74,66.83,78.53,13,14,13,15,11,16,12,11,11,9,13,64.5,64.56,63.68
7973,J. Christjansen,31,181.8,74.5,Denmark,Caucasian,67,Right,Good,Average,High/Medium,RCM,57.11,58.88,69.05,-67.26,46.82,61.94,33.57,56.44,64.95,67.38,68.35,70.12,70.45,67.85,68.35,12,15,17,14,10,14,11,13,12,12,13,51.98,65.92,-56.16
7974,L. Bertone,25,179.2,-72.8,Switzerland,Caucasian,67,Right,Good,Average,Medium/Medium,,59.34,64.18,58.23,66.98,37.07,60.17,67.11,68.41,64.51,66.4,58.09,74.42,66.15,62.58,66.88,13,15,15,13,13,13,13,13,12,12,13,63.51,60.44,58.11
7975,M. Ajani,25,187.6,86.4,Germany,Caucasian,67,Right,Excellent,Good,Medium/Medium,SUB,71.11,59.15,56.94,63.48,43.85,64.86,57.59,47.47,52.27,60.44,81.23,89.62,66.82,63.6,61.72,13,10,15,15,11,14,9,13,11,9,12,52.86,53.83,54.13
7976,H. Bjørdal,22,188.4,86.6,,,67,Right,Good,Good,Medium/Medium,RM,74.48,60.91,58.35,68.27,56.33,68,57.72,44.66,64.66,68.12,64.78,73.84,67.92,61.33,50.78,12,14,13,17,12,11,10,12,13,9,13,36.65,57.23,53.41
7977,R. Hall,25,172.8,66.1,England,Black,67,Left,Excellent,Good,Medium/Low,SUB,69.25,61.78,58.72,60.75,56.95,67.91,66.98,63.1,55.75,64.27,87.16,89.34,75.79,61.35,81.52,12,15,12,12,12,11,2,12,10,10,11,53.11,20.19,12.69
7978,T. Takagi,28,170.2,63.8,Japan,Asian,67,Right,Good,Excellent,High/Medium,SUB,69.29,68.36,-49.19,66.11,51.81,64.4,73.14,66.3,58.94,62.41,87.5,72.18,78.48,60.12,81.18,14,8,15,12,12,10,5,12,11,13,11,-42.98,26.22,23.73
7979,D. Bizimana,22,179.8,76.7,Rwanda,Black,67,,Good,Good,Medium/Medium,LDM,-65.51,58.38,60.98,67.71,68.37,63.37,60.28,64.82,70.14,-68.19,67.84,58.62,73.84,63.06,-68.78,15,15,13,13,13,13,13,12,12,11,13,63.75,64.69,63.48
7980,G. Di Noia,24,180.9,72.2,Italy,Caucasian,67,Left,Good,Average,Medium/Medium,SUB,65.01,63.34,59.69,70.21,54.72,-62.71,54.85,58.05,63.78,66.53,67.56,70.95,60.75,62.02,70.21,13,13,16,13,12,12,13,12,12,12,10,64.03,67.79,68.32
7981,A. Uluda?,28,180.1,77.4,Turkey,Middle-eastern,67,Left,Good,Good,High/High,SUB,61.4,56.94,59.94,65.5,60.07,66.57,65.23,59.06,63.1,64.65,73.72,71.98,72.18,-64.86,71.82,14,13,14,13,12,13,13,12,11,11,12,59.51,67.63,64.4
7982,D. Janošek,21,182.7,75.8,Czech Republic,Caucasian,67,Right,Excellent,Average,High/Medium,RES,50.9,-54.13,60.59,68.61,51.55,62.98,-42.8,57.54,66.3,66.88,70.68,71.88,72.7,63.19,62.55,15,14,12,13,14,14,12,11,13,9,13,57.08,62.51,61.99
7983,J. Samuelsen,34,172.3,69.6,Norway,Caucasian,67,Right,Good,Good,High/High,SUB,61.43,58.96,57.21,67.65,62.71,66.07,65.69,62.82,63.97,66.66,-57.65,54.52,70.08,71.01,80.32,13,15,14,12,12,13,12,13,12,10,14,61.05,60.75,60.96
7984,I. Franji?,31,180.4,77.3,Australia,Caucasian,67,Right,Average,Good,High/Medium,RWB,70.54,57.47,57.35,64.98,55.18,66.24,60.83,31.51,59.78,67.45,71.56,70.29,65.1,64.51,68.68,12,14,14,13,12,13,12,13,11,11,12,64.01,63.43,62.3
7985,,28,178,76.1,Korea Republic,Asian,67,Right,Good,Average,Medium/Medium,RM,68.02,52.65,53.09,66,52.21,58.18,55.89,50.27,68.64,61.04,80.87,89.58,84.06,64.43,78.82,13,13,14,14,12,14,12,14,13,8,12,55.88,64.42,62.29
7986,Alcatraz,32,180,74.7,Colombia,Black,67,Right,Average,Good,Medium/Medium,RB,72.04,55.25,57.37,68.13,-48.01,65.08,78.8,77.25,64.63,66.95,71.08,77.11,-66.21,59.23,68.21,14,14,16,14,13,13,11,11,12,12,12,70.34,-57.66,62.94
7987,M. Mirahmetjan,28,182,71.9,China PR,Asian,67,Right,Good,Average,Medium/Medium,LCM,73.2,58.65,68,67.93,48.48,62.17,71.76,68.82,68.51,66.47,68.91,65.68,73.24,58.7,52.91,14,12,14,11,13,13,13,13,12,11,10,65.76,64.41,57.49
7988,B. Lennon,21,177,70.1,United States,Black,67,Right,Good,Good,,RB,71.43,57.53,62.44,65.82,47.91,64.65,68.87,44,62.03,66.15,70.26,73.53,65.65,63.45,68.87,13,15,17,12,11,12,12,12,13,13,12,62.78,60.53,60.03
7989,C. Grindheim,35,179,73.6,Norway,Caucasian,67,Right,Excellent,Good,Medium/High,CAM,65.24,53.87,63.12,72.36,61.64,63.92,69.49,67.82,-68.87,68.86,39.73,36.62,60.08,77.71,72.61,14,12,12,15,13,13,13,13,13,11,15,61.13,54.82,50.81
7990,L. Crecco,23,182.7,75.9,Italy,Caucasian,67,Left,Good,Good,Medium/Medium,LCM,67.95,50.44,64.45,69.13,42.48,65.73,49.77,-34.81,64.21,70.3,67.1,69.91,58.3,72.34,62.68,13,9,15,14,10,13,14,13,12,8,12,52.89,51.69,53.85
7991,David Rocha,34,179.3,73.4,Spain,Black,67,Right,Good,Good,Medium/Medium,LCM,63.84,60.39,54.54,66.15,56.4,65.37,73.81,75.14,67.11,67.86,56.14,-50.95,62.75,61.03,70.18,15,13,14,14,14,14,11,12,13,13,13,59.5,61.75,59.31
7992,N. DeLeon,28,-178.1,77.3,United States,Black,67,Right,Excellent,Good,Medium/High,RM,63.72,56.51,54.68,65.57,55.17,65.57,69.08,59.15,62.91,66.22,73.9,68.38,69.14,65.41,66.28,14,14,15,12,13,14,11,12,12,10,12,58.9,57.51,56.39
7993,M. Biankadi,24,181,78,Germany,Caucasian,67,Right,Excellent,Good,High/High,SUB,58.65,59.87,55.18,-61.19,43.4,72.19,58.37,37.62,62.89,66.39,74.22,82.98,76.79,61.07,71.9,12,12,17,15,11,12,9,11,12,8,11,48.46,61.71,-54.51
7994,K. Pusch,26,181,-75.7,Germany,Caucasian,67,Left,Good,Average,Medium/Medium,,44.58,60.91,56.23,69.51,70.61,61.07,65.5,61.71,62.02,69.2,67.35,67.05,74.29,67.91,71.27,11,14,15,13,11,10,12,12,13,11,12,51.77,56.78,47.7
7995,J. Gjasula,33,189.4,87.4,Albania,,67,Right,Good,Good,Medium/Medium,RCB,68.52,62.82,56.23,68.88,61.61,66,68.53,64.57,68.43,69.48,57.24,51.75,67.45,64.54,65.41,13,10,12,15,12,12,10,12,14,15,13,60.36,49.46,36.01
7996,V. Gvilia,25,182.4,78.7,,,67,Right,Excellent,Good,Medium/Medium,CAM,70.34,62.05,55.04,68.08,52.16,66.52,67.79,67.55,70.31,68.55,62.55,63.92,68.53,64.52,63.25,13,10,14,12,11,11,8,12,13,11,13,53.79,41.97,34.6
7997,A. Rodríguez,26,175.9,74,Colombia,Black,67,Right,Good,Good,Medium/Low,RAM,66.58,64.69,52.22,65.43,45.28,66.66,43.04,33.84,53.6,63.08,80.6,81.68,81.19,56.34,70.27,13,16,13,11,12,11,2,12,11,11,10,44.7,38,38.76
7998,J. Drolè,21,184.8,69.8,Ivory Coast,Black,67,Right,Average,Good,High/Low,SUB,62.13,63.55,-43.93,57.74,45.09,66.81,44.35,40.17,47.22,64.86,91.34,92.16,88.89,55.96,67.65,13,12,16,13,8,10,6,13,12,11,13,-37.82,23.1,29.14
7999,C. Munder,19,166.4,57.3,Cuba,Caucasian,67,,Good,Good,Medium/Medium,RES,-62.69,64.78,50.7,62.89,41.87,67.7,47.12,36.42,61.65,-66.55,78.99,83.56,84.75,56.41,-78.26,13,11,14,11,12,6,4,12,11,9,11,31.87,31.91,26.09
8000,Jin Jingdao,27,168.5,65.7,China PR,Asian,67,Right,Good,Good,Medium/Medium,SUB,53.8,52.57,55.28,68.89,72.52,-69.09,57.32,47.35,64.82,65.81,72.94,77.34,71.68,73.45,89.77,13,16,14,9,10,16,12,13,10,10,12,62.68,68.77,71.94
8001,R. Raveloson,22,182.1,73,Madagascar,Black,67,Right,Average,Average,Medium/Medium,LCM,56.83,52.79,62.46,71.71,57.37,66.75,45.83,40.9,64.7,70.37,75.48,71.77,76.36,-61.26,68.1,13,11,14,13,12,12,13,10,12,10,13,63.69,64.22,66.93
8002,D. Melnjak,26,179.4,73.1,Croatia,Caucasian,67,Left,Good,Average,Medium/Medium,LB,69.05,-43,64.99,66.67,41.71,68.34,-46.62,51,60.1,69,69.97,67.93,69.02,61.82,66.07,13,10,13,12,11,14,12,14,11,7,14,60.35,69.56,69.34
8003,H. Jimenez,30,174.8,65.7,United States,Caucasian,67,Right,Excellent,Good,High/High,SUB,65.74,53.91,57.45,63.68,56.14,65.02,72.42,52.97,59.27,67.5,-67.88,73.77,75.58,63.54,78,14,14,13,11,12,12,13,13,13,12,12,67.32,67.07,58.95
8004,M. Pinato,24,175.4,66.3,Italy,Caucasian,67,Left,Good,Good,Medium/Medium,LCM,63.07,59.64,56.2,72.75,51.53,65.98,52.81,50.86,66.7,70.39,73.14,72.15,77.1,60.41,70.03,11,13,14,13,11,12,12,12,13,12,12,59.67,65.56,62.66
8005,,23,168.1,61.7,Chile,Caucasian,67,Right,Excellent,Good,Medium/High,LB,62.99,50.19,52.82,64.84,49.85,66.61,59.34,57.74,60.13,65.2,87.82,89.42,76.64,67.72,64.68,12,10,13,13,12,11,12,12,11,9,11,63.03,62.99,62.24
8006,B. Close,22,175.5,74.6,England,Caucasian,67,Right,Excellent,Good,Medium/Medium,CAM,57.48,55.76,54.92,72.44,-66.26,62.6,57.97,53.7,66.9,68.89,76.18,68.59,-73.44,62.46,71.25,12,12,15,11,13,10,12,12,12,10,15,63.96,-62.98,58.84
8007,Piao Cheng,29,176.5,68.8,China PR,Asian,67,Right,Good,Good,Medium/Medium,SUB,56.97,53.88,48.39,73.3,57.15,68.29,65.84,63.63,69.26,65.03,70.95,74.96,77.73,65.86,83.75,12,15,15,12,13,14,11,12,12,11,13,62.46,62.51,53.91
8008,S. Aškovski,27,179.2,67.6,FYR Macedonia,,67,Left,Good,Good,,RM,62.83,63.99,45.82,66.16,37.96,65.61,52.33,28.48,64.19,64.73,77.26,70.78,76.6,66.48,67.97,11,14,14,13,11,13,11,12,12,8,12,51.89,58.95,61.75
8009,H. Kane,20,176.7,67.5,England,Black,67,Right,Good,Good,Medium/Medium,RES,46.2,60.26,55.58,72.45,46.5,61.86,45.37,48.54,-66.75,67.22,68.94,71.63,66.66,66.33,78.46,12,11,13,10,11,13,10,11,13,11,11,49.2,59.05,62.39
8010,M. Šitum,27,177.2,76.3,Croatia,Caucasian,67,Right,Good,Good,High/Low,RES,71.04,61.26,55.92,66.42,45.72,67.57,58.17,-40.76,64.79,71.24,71.65,66.7,74.53,59.56,66.58,12,10,13,11,12,6,12,12,11,11,11,61.19,61.18,60.02
8011,M. Dittgen,24,182,76.7,Germany,Caucasian,67,Left,Good,Good,Medium/Medium,LM,61.61,59.47,41.25,61.2,45.67,69.73,55.46,42.59,47.4,67.31,81.19,-80.27,67.67,64.67,68.58,14,11,14,13,8,10,11,13,11,10,9,56.84,58.33,51.53
8012,T. Ugajin,31,-172.5,70.7,Japan,Asian,67,Right,Excellent,Average,Medium/Medium,RM,67.1,54.78,52.88,68.32,49.51,64.56,64.26,59.48,66.27,67.74,81.15,60.53,70.13,61.78,71.93,13,14,15,13,13,11,10,13,12,13,9,61.54,52.83,52.1
8013,A. Polo,24,173.1,69.6,Peru,Caucasian,67,Right,Good,Good,Medium/Medium,RM,59.76,58.97,56.57,-61.23,53.55,64.97,54.17,45.14,61.11,64.38,87.91,89.28,80.58,67.87,78.95,11,8,14,9,11,9,11,12,12,8,11,51.89,57.97,-55.98
8014,An Hyeon Beom,24,178.9,-73.6,Korea Republic,Asian,67,Right,Good,Good,High/Medium,,60.75,63.93,47.9,63.78,40.9,66.37,44.92,30.67,54.77,63.88,84.4,83.89,82.07,64.75,71.82,11,8,12,13,9,10,12,12,12,9,13,36.31,61.57,60.54
8015,R. Rodriguez,28,180.3,75.2,Switzerland,Caucasian,67,Right,Good,Good,High/Low,LCM,58.06,57.97,49.19,62.57,55.48,66.68,62.39,55.91,62.51,66.86,80.02,80.44,79.19,57.7,65.83,13,11,14,12,8,10,8,12,12,12,13,40.4,39.56,46.54
8016,R. McKenzie,25,174.7,74.8,,,67,Right,Good,Good,High/Medium,RCM,59.68,60.77,59.93,65.92,37.11,63.57,57.31,46.9,61.37,66.11,80.66,84.53,92.96,62.91,81.55,10,16,15,12,10,13,8,12,12,12,11,40.46,19.69,17.93
8017,G. Merebashvili,32,178.8,74.6,Georgia,Black,67,Right,Good,Good,High/Medium,RM,60.79,60.04,54.88,64.3,55.13,69.01,55.75,56.03,64.73,68.16,69.9,76.24,80.03,64.9,68.81,12,11,14,12,10,11,6,11,13,10,12,24.61,36.51,37.61
8018,T. Bingöl,26,180,73.9,Turkey,Middle-eastern,67,Right,Average,Good,Medium/High,SUB,67.94,58.77,-44.39,67.9,52.13,71.09,59.19,48.75,60.3,66.26,78.24,82.43,61.7,58.33,64.86,12,8,12,12,11,10,5,12,11,12,10,-33.19,31.66,29.53
8019,E. Arango,25,169.8,62.8,Colombia,Black,67,,Good,Good,High/Medium,SUB,-68.25,61.11,59.91,68.86,39.54,65.63,59.62,59.97,59.37,-61.54,76.97,79.76,75.81,59.27,-73.04,12,14,13,12,11,11,4,12,13,13,12,29.75,20.33,21.31
8020,C. McLennan,19,181.8,68.8,Scotland,Caucasian,67,Right,Good,Good,Medium/Medium,RM,64.51,61.84,49.21,62.64,58.63,-68.89,38.84,31.97,56.58,66.96,71.9,77.76,60.94,60.02,76.31,12,13,13,13,11,6,3,12,12,12,12,16.22,22.34,19.55
8021,L. Cacace,18,184.2,71.6,New Zealand,Caucasian,67,Left,Excellent,Average,High/Low,LB,67.5,53.81,48.77,67.05,37,65.77,66.89,56.9,64.66,68.56,74.64,74.93,74.42,-64.97,66.41,10,13,16,14,10,13,12,13,13,11,13,62.42,64.3,62.21
8022,C. Cuevas,24,174.5,64.8,Chile,Caucasian,67,Left,Good,Good,High/Medium,SUB,67.9,-56.38,57.03,65.72,29.71,67.93,-70.34,50.17,62.02,63.91,78.57,82.73,85.05,57.45,75.3,11,15,14,10,12,14,12,13,11,10,11,66.21,63.43,68.36
8023,A. Al Sulayhim,25,171.3,62.8,Saudi Arabia,Middle-eastern,67,Right,Excellent,Good,Medium/Low,LCM,51.48,55.08,53.14,66.74,46.47,68.14,68.27,63.89,64.66,70.44,-77.82,67.77,91.61,67.96,88.7,11,15,15,11,10,11,12,13,12,10,12,60.79,60.93,62.41
8024,L. Scaglia,32,183.5,67.3,Italy,Caucasian,67,Left,Excellent,Good,High/Medium,RES,65.02,51.46,45.4,62.95,50.4,64.37,63.13,49.09,58.93,65.27,76.48,87.66,77.05,67.34,79.45,14,15,17,11,11,14,13,13,11,8,14,56.09,62.47,59.17
8025,,25,174.7,72.2,Japan,Asian,67,Right,Good,Good,Medium/Medium,LCM,54.09,54.86,38.37,69.64,53.37,67.27,63.19,68.67,61.72,67.76,83.67,77.12,86.12,71.71,72.67,13,11,14,13,11,8,12,10,13,12,12,59.33,60.05,52.4
8026,Romário Pires,30,180.6,78.2,Brazil,Caucasian,67,Right,Good,Average,Medium/Medium,LDM,41.07,63.1,49.27,72.02,-40.49,62.76,32.17,36.87,65.69,72.67,64.17,71.33,-63.59,69.32,61.13,8,15,14,12,11,11,12,12,11,8,9,49.76,-58.08,48.18
8027,M. Rasmussen,21,180.2,68.3,Norway,Caucasian,67,Left,Good,Good,Medium/Medium,LB,70.4,53.49,53.68,67.59,37.45,69.46,65.54,55.53,64.31,70,78.46,72.47,77.08,60.97,83.45,12,16,13,10,12,10,8,12,13,9,13,57.34,55.58,59.47
8028,V. Savi?evi?,25,178.8,71.6,Montenegro,Black,67,Right,Good,Average,,CDM,66.72,62.16,43.83,66.28,48.9,65.31,63.55,58.23,63.87,68.2,66.6,66.37,65.65,65.46,71.16,13,12,14,12,14,11,12,11,13,12,12,47.87,62.3,43.51
8029,Q. Boisgard,22,173.6,75.3,France,Caucasian,67,Right,Good,Good,Medium/Medium,SUB,63.63,56.66,48.43,73.57,60.02,68.27,61.73,53.17,-71.58,67.87,63.14,62.68,64.68,60.71,67.78,12,11,13,11,11,11,6,13,13,10,13,47.45,47.1,44.84
8030,Breno Laranjeiro,31,181,68.7,Brazil,Caucasian,67,Left,Average,Good,Medium/Medium,SUB,67.52,57.64,63.06,70.28,60.52,65.3,67.04,-58.43,56.44,71.26,67.53,73.26,62.79,60.99,61.16,10,11,11,10,10,8,10,12,14,12,12,17.99,51.49,37.63
8031,P. Zinckernagel,24,174.8,69.5,Denmark,Caucasian,67,Right,Average,Good,High/Medium,ST,63.56,57.31,38.09,63.25,48.16,71.25,65.11,54.42,55.81,67.35,88.8,-82.42,90.39,61.64,73.3,12,8,14,12,11,13,7,11,12,11,12,50.9,37.66,24.39
8032,C. Noone,31,-176.8,69,England,Caucasian,67,Left,Average,Good,High/Low,RM,69.89,56.83,51.65,56.91,49.19,70.19,65.84,62.14,63.39,69.7,81.93,73.32,80.01,61.8,81.33,11,12,10,12,13,10,10,12,12,11,10,31.68,34.74,28.32
8033,G. Edwards,26,175.2,76.4,Wales,Caucasian,67,Right,Good,Good,High/High,LM,64.74,59.97,52.14,-61.35,56.26,75.48,63.32,59.38,63.25,63.21,84.36,78.99,83.73,58.14,71.71,12,10,13,7,12,11,9,11,11,11,11,38.39,41.25,-31.61
8034,K. Omori,27,170.4,-69.8,Japan,Asian,67,Right,Good,Good,Medium/Medium,,67.07,60.7,39.33,69.4,55.21,67.21,64.01,37.95,65.91,67.73,69.19,63.89,79.03,57.57,84.55,12,17,14,14,11,7,7,13,12,11,11,50.55,30.39,25.48
8035,C. Canío,38,175.6,74.8,Chile,Caucasian,67,Right,Excellent,Good,Medium/Low,ST,57.18,64.71,46.63,72.79,52.74,69.98,78.34,75.05,65.58,69.75,32.62,46.86,69.42,58.21,55.45,11,12,9,13,11,9,7,14,14,13,15,34.6,32.34,40.72
8036,G. Roberts,35,177.5,73.5,,,67,Left,Good,Good,Medium/Medium,SUB,67.82,63,48.29,67.28,65.95,68.01,70.34,68.87,62.49,66.8,51.94,52.12,66.06,62.11,70.8,12,8,10,12,13,13,6,13,14,14,14,38.29,32.82,29.69
8037,I. Poblete,24,173.2,64.6,Chile,Caucasian,67,Left,Good,Good,Medium/Medium,CAM,58.79,65.12,37.17,68.2,45.29,70.22,55.55,70.39,62.41,69.4,70.3,67.89,78.98,52.67,78.79,11,13,14,13,11,8,6,12,13,10,13,38.5,34.46,37.22
8038,O. Moru?an,20,171.7,70.8,Romania,Middle-eastern,67,Left,Good,Excellent,Medium/Low,SUB,40.72,57.44,-53.77,63.42,42.05,75.81,61.87,42.28,60.51,72.02,75.02,68.87,75.86,57.21,80.47,12,12,13,13,11,9,4,11,13,8,14,-30.79,30.36,33.05
8039,F. Flecker,23,173,70.3,Austria,Caucasian,67,,Good,Good,High/High,RES,-64.43,66.21,37.56,59.24,55.04,69.37,45.22,58.19,52.98,-67.75,79.11,86.5,77.58,63.27,-79.18,12,15,15,9,10,7,5,11,11,8,10,46.71,32.59,31.35
8040,Wilsson Rosito,35,180.5,73,Brazil,Black,67,Left,Masterful,Good,Medium/Medium,SUB,72.9,45.43,55.18,65.56,47.42,-70.63,76.83,75.06,76.35,72.43,77.73,67,81.22,58.94,76.56,14,11,12,12,12,8,8,13,11,13,12,25.57,22.22,21.96
8041,J. Viveros,27,170,69.9,Colombia,Black,67,Right,Good,Good,Medium/Medium,SUB,71.86,62.73,35.85,62.97,42.56,64.49,68.96,52.85,59.54,66.48,76.55,69.32,91.62,-58.85,74.71,13,13,12,13,12,7,7,12,14,11,15,35.06,25.88,31.69
8042,A. Nakamura,28,173.8,66.6,Japan,Asian,67,Right,Good,Good,Medium/Medium,SUB,67.04,-56.46,40.78,68.04,52.94,71.58,-55.05,41.71,66.63,67.48,61.11,71.7,80.48,64.21,72.79,12,8,8,12,10,6,5,13,13,11,12,51.12,27.65,25.01
8043,Gerard Badía,29,174.6,69,Spain,Black,67,Left,Good,Good,High/Medium,SUB,64.02,60.54,37.79,65.18,62.48,64.5,69.56,65.58,63.96,66.01,-72.92,78.39,79.86,62.64,73.89,12,15,13,11,13,8,5,12,13,13,13,38.52,23.46,30.4
8044,C. Tabó,25,173.6,75.4,Uruguay,Caucasian,67,Right,Good,Good,Medium/Low,RM,60.24,60.94,40.6,60.69,53.62,73.79,72.13,60.51,58.9,68.06,83.09,80.05,77.16,50.79,70.55,12,13,12,12,10,13,4,13,11,10,12,23.52,26.45,29.12
8045,,20,168.5,55.5,Guinea,Black,67,Right,Good,Good,High/Medium,SUB,52.31,66.18,40.77,55,53.76,73.03,56.78,48.58,48.81,67.16,90.69,87.42,90.45,61.98,91.18,12,11,12,6,11,9,5,11,11,12,13,32.23,31.33,34.2
8046,B. Barker,22,179.6,66.8,England,Caucasian,67,Right,Excellent,Good,Medium/Medium,SUB,60.58,60.16,38.44,63.92,-41.29,66.2,55.28,43.86,52.24,65.27,91.59,90.81,-75.68,59.22,74.25,12,7,13,11,10,8,4,12,11,11,11,29.5,-29.49,31.37
8047,J. Willock,19,184.5,71.2,England,Caucasian,67,Right,Good,Good,High/Medium,SUB,49.52,51.29,41.11,71.11,42.19,66.11,53.93,45.69,67.16,68.84,74.47,73.08,69.97,65.17,71.74,12,12,14,12,10,13,11,13,13,9,12,53.54,58.21,51.39
8048,L. Houri,23,166,60.8,France,Black,67,Right,Good,Good,,LCM,60.68,47.47,54.84,70.63,62.88,67.05,69.36,67.54,67.94,68.31,68.48,64.95,75.23,70.91,91.26,13,11,13,6,11,9,10,13,13,13,12,62.14,50.43,53.18
8049,F. Makaringe,26,179.2,75.4,South Africa,Black,67,Right,Excellent,Average,High/Medium,SUB,60.65,41.31,58.39,74.81,45.17,71.72,63.9,65.57,-65.17,70.83,75.9,72.21,57.89,54.77,57.57,12,12,14,13,9,12,5,13,13,11,10,41.89,58.5,48.22
8050,D. Ferreira,39,165.9,70.5,Colombia,Black,67,Right,Excellent,Good,Medium/Medium,SUB,69.85,56.8,51.68,70.1,61.94,68.12,74.97,-72.9,68.47,67.99,47.46,60.43,67.63,69.94,79.58,12,13,6,7,12,13,6,12,13,15,14,58.11,59.6,36.19
8051,L. Necul,19,170.7,71.6,Argentina,Caucasian,67,Left,Good,Good,High/Medium,SUB,55.86,52.35,46.47,72.5,59.51,73.44,80.53,56.68,68.19,71.21,77.09,-76.92,79.61,53.29,78.89,14,12,11,9,11,9,8,11,12,9,12,45.21,47.47,49.43
8052,D. Atanga,22,-180,65.2,Ghana,Black,67,Left,Excellent,Average,Medium/Medium,SUB,56.67,55.54,48.97,63.41,48.47,67.21,44.05,37.59,58.9,64.53,89.71,91.11,81.18,60.83,76.51,11,11,14,8,10,11,7,12,12,8,9,34.27,38.44,43.53
8053,S. Lundholm,25,179.9,75.2,Sweden,Caucasian,67,Left,Good,Good,Medium/Medium,RM,64.62,58.08,45.34,-61.28,59.3,68.75,65.8,60.93,50.14,69.61,80.44,73.55,85.92,58.34,80.23,11,11,14,11,11,8,8,12,12,12,12,41.7,38.87,-33.86
8054,A. Ouahim,21,175.4,-68.2,Morocco,Black,67,Right,Good,Good,High/Medium,,57.81,57.28,47.93,65.96,56.25,70.78,64.41,59.22,55.99,69.47,78.9,74.99,83.41,67.05,86.9,12,11,14,8,9,9,5,11,11,11,13,34.41,35.11,47.87
8055,A. Vargas,30,170.3,69.8,Colombia,Black,67,Right,Good,Good,Medium/Low,SUB,70.29,58.09,41.22,70.5,56.97,66.83,67.28,67.73,67.02,66.58,61.94,63.12,69.11,58.84,81.62,13,11,10,11,12,9,7,12,13,11,14,37.89,32.03,33.83
8056,F. Kadioglu,19,172.9,63.9,,,67,Right,Good,Good,Medium/Medium,SUB,64.2,58.11,42.14,64.04,60.13,72.35,70.16,64.18,56.97,69.96,70.74,71.99,68.5,62.02,80.53,12,12,13,11,12,7,7,10,14,10,10,34.59,29.02,28.01
8057,Álex Blanco,20,174.8,70.2,Spain,Caucasian,67,Left,Excellent,Good,Medium/Medium,SUB,62.17,56.65,37.3,65.8,43.84,67.05,54.26,44.73,58.82,67.73,82.48,77.86,76.6,62.15,73.59,13,9,12,10,10,8,8,12,12,11,12,37.57,32.02,27.67
8058,D. Takagi,23,169.7,64.2,Japan,Asian,67,Right,Excellent,Good,Medium/Medium,SUB,65.28,63.08,-38.91,65.81,56.19,69.22,58.74,54.58,59.55,66.81,75.95,72.42,78.54,58.51,83.69,12,14,13,7,13,11,7,12,12,12,12,-36.26,26.74,28.68
8059,E. O'Kane,28,172.6,68.8,Republic of Ireland,Caucasian,67,,Excellent,Good,Medium/Medium,RES,-62.13,47.67,46.85,71.41,28.23,67.21,47.94,52.6,68.03,-69.65,74.54,64.52,78.69,67.11,-82.17,12,14,15,10,11,12,13,12,13,11,13,62.48,64.5,59.13
8060,M. Andersen,20,176.2,71.5,Denmark,Caucasian,67,Right,Good,Good,Medium/Medium,LCM,48.74,54.06,45.46,71.62,41.54,-66.87,58.14,43.36,66.51,71.06,74.75,67.17,76.55,60.97,78.23,11,13,13,12,10,9,10,12,14,9,14,57.76,51.68,45.33
8061,M. Abdulrahman,30,173.3,59.8,United Arab Emirates,Middle-eastern,67,Right,Excellent,Excellent,Medium/Medium,SUB,63.63,57.33,44.48,67.08,65.03,72.99,65.81,60.21,65.9,68.44,70.21,65.56,82.12,-61.97,80,11,10,13,9,10,15,10,12,13,9,14,48.61,56.31,45.4
